Protein_ID,Length,Mean_IUPred,Disorder_Fraction,Longest_IDR,Mean_IUPred_N50,Disorder_Fraction_N50,Longest_IDR_N50
sp|Q70PP2|SMG1_DROME,3218,0.20001839745183403,0.048166563082660034,79,0.71370354,1.0,50
tr|A0A0B4K7U0|A0A0B4K7U0_DROME,3213,0.593061917211327,0.7009025832555245,160,0.08635715999999999,0.0,0
tr|A0A0B4LH08|A0A0B4LH08_DROME,3213,0.6365793193277302,0.744786803610333,777,0.24382280000000006,0.16,5
sp|Q9NDJ2|DOM_DROME,3198,0.4788748345841164,0.4740462789243277,269,0.8553961599999998,1.0,50
tr|H9XVP2|H9XVP2_DROME,3186,0.35557374419334437,0.22567482736974262,94,0.41919794000000005,0.4,15
tr|Q9VUB5|Q9VUB5_DROME,3146,0.647395098219962,0.7498410680228862,378,0.62555518,0.9,28
tr|Q0KHU0|Q0KHU0_DROME,3145,0.4104121287758331,0.3669316375198728,498,0.25051645999999983,0.04,2
tr|Q9VN58|Q9VN58_DROME,3140,0.5124374866242016,0.5238853503184714,434,0.86489692,1.0,50
tr|Q7KUH2|Q7KUH2_DROME,3135,0.7759046500797394,0.908133971291866,2545,0.11358205999999998,0.0,0
tr|A8DYA3|A8DYA3_DROME,3131,0.5679285547748308,0.6030022357074417,194,0.63019824,0.62,31
sp|M9NDE3|BARK_DROME,3123,0.27469828562279774,0.12936279218699967,163,0.4372416399999999,0.52,16
sp|O15943|CADN_DROME,3097,0.3572127878592199,0.18146593477558928,29,0.09623467999999998,0.0,0
tr|A8JR01|A8JR01_DROME,3090,0.6491531796116512,0.7964401294498382,285,0.4524625,0.3,7
tr|Q9VDY5|Q9VDY5_DROME,3028,0.3429463477542924,0.3266182298546896,253,0.08837527999999999,0.0,0
sp|P28167|ZFH2_DROME,3005,0.48112752645590706,0.47321131447587356,94,0.4907318199999999,0.34,17
sp|Q9VYN8|TENA_DROME,3004,0.319165323235687,0.20472703062583222,109,0.6684169200000001,0.78,39
tr|A0A0B4KI51|A0A0B4KI51_DROME,3003,0.6631165840825859,0.7965367965367965,292,0.7683536200000001,1.0,50
tr|A0A0B4KFF9|A0A0B4KFF9_DROME,2990,0.3956275632107025,0.26220735785953175,344,0.5291454600000001,0.66,13
tr|Q8MLU9|Q8MLU9_DROME,2979,0.07679222356495458,0.0003356831151393085,1,0.07751789999999997,0.0,0
sp|Q868Z9|PPN_DROME,2898,0.33657544582470866,0.23636991028295376,533,0.33640406000000006,0.2,9
tr|Q400N2|Q400N2_DROME,2895,0.5437822981001742,0.5740932642487047,310,0.30338156,0.14,4
sp|Q8IPJ3|LUBEL_DROME,2892,0.62361766320885,0.7306362378976486,865,0.7284373400000002,1.0,50
tr|Q9VLT6|Q9VLT6_DROME,2892,0.14512346749654195,0.02455048409405256,17,0.29998490000000005,0.16,7
sp|P51592|HYD_DROME,2885,0.36312759688041574,0.2824956672443674,152,0.28688023999999995,0.0,0
sp|M9NEY8|DMAD_DROME,2860,0.7177439681818167,0.829020979020979,461,0.72863524,1.0,50
tr|Q9VGW4|Q9VGW4_DROME,2851,0.6015935177130828,0.6797614871974745,819,0.20826134,0.02,1
sp|Q9W0Y8|SCN60_DROME,2844,0.33030683227848084,0.3340365682137834,164,0.3583579999999999,0.08,3
sp|P29993|ITPR_DROME,2838,0.21189335976039556,0.06448202959830866,33,0.10971497999999999,0.0,0
tr|Q9VSL8|Q9VSL8_DROME,2836,0.4301757341325831,0.32581100141043723,216,0.24234305999999994,0.0,0
tr|D0UGE6|D0UGE6_DROME,2819,0.7898825083362914,0.8251152891096133,1477,0.17459384000000008,0.08,4
tr|A0A6H2EG35|A0A6H2EG35_DROME,2803,0.6256646079200855,0.7855868712094185,485,0.5999260000000001,0.88,40
tr|Q9VBJ2|Q9VBJ2_DROME,2802,0.17180592112776577,0.05424696645253391,21,0.1878683,0.0,0
tr|A0A0B4K6M2|A0A0B4K6M2_DROME,2798,0.619505398141529,0.7097927090779128,450,0.5395286600000001,0.64,11
tr|Q9VSU2|Q9VSU2_DROME,2792,0.42158512070200455,0.3839541547277937,348,0.3393465999999999,0.36,8
sp|Q8MSS1|LVA_DROME,2779,0.5351619039222736,0.5656711047139259,89,0.5758082,0.84,28
sp|P55824|FAF_DROME,2778,0.25412880633549306,0.14578833693304535,136,0.8566837999999997,1.0,50
tr|Q7KVY9|Q7KVY9_DROME,2777,0.6143383251710482,0.7075981274756932,302,0.6662872400000001,0.76,34
sp|Q5EAK6|ATM_DROME,2767,0.12833405999277203,0.013010480664980123,10,0.23923176000000004,0.0,0
tr|M9MRV7|M9MRV7_DROME,2754,0.17745628830791557,0.0374001452432825,50,0.10521530000000003,0.0,0
tr|Q9W246|Q9W246_DROME,2733,0.17205069520673222,0.06622758873033296,36,0.25922143999999997,0.04,2
sp|O61307|TENM_DROME,2731,0.27791026437202637,0.1314536799707067,142,0.8423770999999999,0.98,48
tr|Q9VU16|Q9VU16_DROME,2730,0.5875342271062249,0.6981684981684981,561,0.8786677999999999,1.0,50
sp|Q9VL06|UFD4_DROME,2727,0.34152504033736786,0.2376237623762376,61,0.13463700000000003,0.0,0
sp|A0A0B4K7J2|RBP2_DROME,2718,0.429136844738779,0.347682119205298,149,0.26790154,0.02,1
sp|Q8IN94|OSA_DROME,2716,0.7362325968335799,0.7477908689248896,984,0.9902984399999997,1.0,50
sp|P07207|NOTCH_DROME,2703,0.2520550073991859,0.26452090270070294,298,0.20305498000000002,0.14,7
tr|B7Z141|B7Z141_DROME,2684,0.6742584333084978,0.7503725782414307,301,0.9504708000000001,1.0,50
sp|Q9W0T1|NU301_DROME,2669,0.42247280929186926,0.37954289996253276,136,0.8667472799999999,1.0,50
tr|Q9VID9|Q9VID9_DROME,2663,0.7100354085617723,0.856552760045062,618,0.36966061999999994,0.28,4
tr|Q9VUE8|Q9VUE8_DROME,2637,0.6140094239666267,0.7258248009101251,335,0.5659643199999999,0.66,14
tr|Q7PLL6|Q7PLL6_DROME,2630,0.1294739007604563,0.0045627376425855515,7,0.15710048000000001,0.0,0
sp|Q7KTX8|MED13_DROME,2618,0.45918952521008255,0.4297173414820474,217,0.33091709999999996,0.18,9
sp|P98159|NUDEL_DROME,2616,0.36625063914373207,0.3008409785932722,148,0.08803259999999993,0.0,0
sp|A1ZBE8|DOP1_DROME,2599,0.2625830015390548,0.18507118122354752,108,0.16189192000000002,0.0,0
tr|A0A0B4KFC0|A0A0B4KFC0_DROME,2587,0.6045333722458442,0.6957866254348667,171,0.8311669200000001,1.0,50
tr|A0A6M3QH40|A0A6M3QH40_DROME,2568,0.6923948827881595,0.8267133956386293,452,0.96280722,1.0,50
tr|Q8IR55|Q8IR55_DROME,2567,0.41989055434359107,0.2991819244253993,83,0.07677288000000002,0.0,0
tr|A1ZAN6|A1ZAN6_DROME,2559,0.5923998229777253,0.652989449003517,252,0.8324945999999995,1.0,50
sp|P13368|7LESS_DROME,2554,0.28589867032106575,0.12725137039937354,27,0.5286829399999998,0.54,22
sp|M9MSG8|PIEZO_DROME,2551,0.17582051509212102,0.13524108192865542,104,0.0022673800000000007,0.0,0
tr|M9NFP8|M9NFP8_DROME,2540,0.6871186622047235,0.844488188976378,361,0.9513332,1.0,50
tr|B7Z001|B7Z001_DROME,2540,0.25828371574803266,0.08031496062992126,140,0.9046888999999999,1.0,50
sp|Q9VW47|MED12_DROME,2531,0.4391960493875927,0.4033978664559463,648,0.6534426799999997,1.0,50
tr|Q9VWC0|Q9VWC0_DROME,2529,0.7021255674179512,0.8608145512060102,636,0.8047441600000004,1.0,50
tr|E1JI78|E1JI78_DROME,2528,0.5858782503955691,0.6867088607594937,614,0.5605785999999999,0.66,33
tr|Q9VSK6|Q9VSK6_DROME,2523,0.33560886325802447,0.2116527942925089,80,0.40934418000000017,0.24,3
tr|A0A0B4K6L3|A0A0B4K6L3_DROME,2519,0.5215582707423562,0.5299722111949187,206,0.54899324,0.6,29
sp|Q9VXG8|ATR_DROME,2517,0.13547125824394135,0.014302741358760428,11,0.07472965999999999,0.0,0
sp|Q24270|CAC1D_DROME,2516,0.3299158445945952,0.33465818759936405,110,0.644554,0.66,33
sp|P25823|TUD_DROME,2515,0.27506237614314255,0.1717693836978131,148,0.12985561999999998,0.0,0
tr|A0A0B4KHT3|A0A0B4KHT3_DROME,2513,0.22346587902904927,0.0947075208913649,56,0.7250596599999999,1.0,50
tr|A0A0B4LEZ3|A0A0B4LEZ3_DROME,2511,0.25514979649542113,0.1561131023496615,101,0.036000159999999996,0.0,0
tr|Q9VXM5|Q9VXM5_DROME,2486,0.5940261520514875,0.672164119066774,240,0.7126274000000002,1.0,50
tr|Q9VWP5|Q9VWP5_DROME,2486,0.6259483592115839,0.6906677393403057,424,0.33105570000000006,0.26,13
tr|A1Z784|A1Z784_DROME,2482,0.24055677276389995,0.08420628525382756,61,0.3628637600000001,0.42,21
sp|Q9VK45|TOR_DROME,2470,0.18428651619433165,0.03643724696356275,24,0.24998801999999998,0.0,0
tr|A8DYV5|A8DYV5_DROME,2467,0.709557186866638,0.8532630725577625,383,0.34128058000000006,0.16,4
tr|Q9VG05|Q9VG05_DROME,2464,0.5105225511363632,0.547077922077922,495,0.6884055399999999,0.8,26
tr|M9PGC5|M9PGC5_DROME,2462,0.6002477193338737,0.7095857026807474,268,0.7063805400000001,0.92,45
sp|Q9VE34|EPG5_DROME,2455,0.14916107902240325,0.059877800407331976,54,0.7872468599999994,1.0,50
sp|Q8IRW8|TRR_DROME,2431,0.5081288408062516,0.548745372274784,203,0.6128051800000001,0.7,18
tr|Q9VAS9|Q9VAS9_DROME,2417,0.5737602316921799,0.6570128258171287,252,0.61427666,0.96,23
sp|P13395|SPTCA_DROME,2415,0.34938501366459906,0.11055900621118013,21,0.40969071999999995,0.02,1
tr|M9PB21|M9PB21_DROME,2410,0.2022019502074688,0.035269709543568464,13,0.44407012000000007,0.26,13
tr|A1Z7S0|A1Z7S0_DROME,2408,0.20187692691029896,0.07267441860465117,44,0.17538272,0.0,0
tr|M9PB01|M9PB01_DROME,2397,0.506719267834792,0.5652899457655403,432,0.48743010000000014,0.44,6
tr|A1Z8U0|A1Z8U0_DROME,2396,0.21181107679465785,0.07387312186978297,61,0.5600132599999998,0.5,25
tr|A0A0B4K6Y7|A0A0B4K6Y7_DROME,2395,0.6376794254697274,0.6922755741127349,617,0.5497920399999999,0.58,19
tr|Q7PLB8|Q7PLB8_DROME,2394,0.1359229356725142,0.006683375104427736,7,0.3411148,0.18,7
tr|Q9VJ82|Q9VJ82_DROME,2381,0.21142788870222545,0.0503989920201596,30,0.05089388,0.0,0
tr|M9PDE7|M9PDE7_DROME,2381,0.7078357845443102,0.8542629147417051,565,0.5553334200000001,0.44,22
tr|Q7KT60|Q7KT60_DROME,2353,0.5441618780280462,0.5881852953676158,143,0.5214638999999999,0.48,20
tr|A8JR05|A8JR05_DROME,2351,0.5209142871118653,0.5920884729902169,189,0.40922978,0.28,14
tr|Q9VT00|Q9VT00_DROME,2351,0.6207804657592488,0.6826882177796683,696,0.86528374,1.0,50
sp|A1Z8P9|TPR_DROME,2346,0.5809051040068199,0.5507246376811594,764,0.4541966799999998,0.3,5
tr|O46048|O46048_DROME,2342,0.6481812839453464,0.771135781383433,520,0.8587422600000001,1.0,50
tr|A0A0B4KEU2|A0A0B4KEU2_DROME,2330,0.7710282317596577,0.9163090128755365,434,0.7591183799999999,1.0,50
tr|X2JEM2|X2JEM2_DROME,2326,0.6282862089423898,0.6891659501289767,451,0.8964147200000002,1.0,50
tr|A0A126GUQ2|A0A126GUQ2_DROME,2326,0.07039988435081701,0.013327601031814273,7,0.00107098,0.0,0
sp|Q9VYD1|C1716_DROME,2313,0.6152405603112846,0.682230869001297,322,0.9035722399999997,1.0,50
tr|Q9W2U7|Q9W2U7_DROME,2309,0.7782706977046342,0.94586401039411,838,0.8226906999999999,1.0,50
tr|Q9VZS7|Q9VZS7_DROME,2300,0.21995406086956504,0.07173913043478261,36,0.008935740000000003,0.0,0
tr|M9PCG3|M9PCG3_DROME,2298,0.2647102902523948,0.14403829416884248,152,0.37939286000000005,0.0,0
tr|Q9VNE0|Q9VNE0_DROME,2296,0.7242740958188164,0.8236062717770035,1054,0.8224379800000001,1.0,50
tr|Q9VUB7|Q9VUB7_DROME,2294,0.5107805148212727,0.49128160418482997,289,0.09719048,0.0,0
tr|Q9W1A9|Q9W1A9_DROME,2291,0.5538449310344816,0.6473155827149716,245,0.32527428,0.04,1
sp|Q00963|SPTCB_DROME,2291,0.3300157302488004,0.13094718463553034,68,0.37384814,0.1,4
tr|Q2PDM3|Q2PDM3_DROME,2289,0.4387920550458725,0.31847968545216254,370,0.22062385999999998,0.04,2
sp|Q9W5U2|CHI10_DROME,2286,0.2282085301837272,0.1216097987751531,63,0.09462932,0.0,0
tr|Q9VPG1|Q9VPG1_DROME,2284,0.4842964417688262,0.45928196147110334,81,0.23615812000000005,0.0,0
tr|A8JUR1|A8JUR1_DROME,2281,0.577418097325734,0.6308636562911004,171,0.4159869400000001,0.4,14
tr|Q7KVD1|Q7KVD1_DROME,2263,0.35056764692885606,0.2222713212549713,245,0.26706076,0.04,2
tr|M9PHU0|M9PHU0_DROME,2263,0.5189422814847565,0.5673884224480777,215,0.7547102200000003,1.0,50
sp|Q9Y0E4|KLAR_DROME,2262,0.5981616750663105,0.6878868258178603,193,0.8055745799999998,1.0,50
sp|Q9VCU9|DCR1_DROME,2249,0.3158260484659861,0.22143174744330812,75,0.07683625999999999,0.0,0
sp|P32870|CYA1_DROME,2248,0.46220966992882484,0.4893238434163701,428,0.0754272,0.0,0
sp|Q9VGP1|ZFY26_DROME,2243,0.20424271110120312,0.06821221578243424,31,0.22523688000000003,0.14,4
sp|Q9VEU1|CAD89_DROME,2240,0.3185728446428563,0.16071428571428573,62,0.1949620600000001,0.0,0
tr|A0A0B4K7K9|A0A0B4K7K9_DROME,2238,0.5778315755138506,0.6738159070598749,180,0.7980426199999999,1.0,50
sp|Q9VCN1|DPOE1_DROME,2236,0.2326880898926661,0.07960644007155634,74,0.4594623599999999,0.36,5
tr|A8JUW5|A8JUW5_DROME,2233,0.26361817689207384,0.23824451410658307,257,0.77569516,1.0,50
tr|Q9VC96|Q9VC96_DROME,2232,0.5546361048387106,0.517921146953405,749,0.3492524999999999,0.16,8
sp|Q9VW15|ASH1_DROME,2226,0.5186043432165318,0.5395327942497754,268,0.690999,1.0,50
sp|O97394|SDK_DROME,2224,0.32404393075539584,0.1420863309352518,93,0.22633589999999995,0.06,2
sp|P98081|DAB_DROME,2224,0.649473044514388,0.7468525179856115,406,0.35946757999999995,0.22,10
sp|P05990|PYR1_DROME,2224,0.2387147517985609,0.047212230215827336,24,0.19248217999999997,0.0,0
sp|Q9W3M3|UBR3_DROME,2219,0.2932467931500683,0.23749436683190625,61,0.86010866,1.0,50
sp|Q9VEN1|FLNA_DROME,2210,0.3754835981900465,0.17737556561085974,23,0.25423482,0.02,1
tr|X2JEI9|X2JEI9_DROME,2206,0.5542930834088852,0.6087941976427924,330,0.28394690000000017,0.0,0
sp|Q9VIQ9|SICK_DROME,2197,0.5788597551206186,0.6704597177969959,481,0.10895662000000002,0.0,0
sp|A1ZA47|ZASP_DROME,2194,0.5651339316317204,0.6969006381039198,196,0.3280942399999999,0.0,0
tr|Q8INC3|Q8INC3_DROME,2194,0.4345770574293517,0.41340018231540565,93,0.67587082,0.92,46
tr|M9NE05|M9NE05_DROME,2192,0.40090066879561925,0.33713503649635035,65,0.18355681999999998,0.0,0
tr|M9PDE6|M9PDE6_DROME,2190,0.535744158904109,0.6109589041095891,127,0.17609578000000004,0.0,0
tr|Q9VKI0|Q9VKI0_DROME,2189,0.4160583608953864,0.2722704431247145,34,0.21293807999999997,0.0,0
sp|Q9VMD9|TIG_DROME,2188,0.3266511421389397,0.1425959780621572,133,0.22785374,0.02,1
tr|Q9VAS8|Q9VAS8_DROME,2187,0.3074490329218099,0.24645633287608595,250,0.10457730000000001,0.0,0
tr|Q9VF56|Q9VF56_DROME,2183,0.19559292899679281,0.058176820888685296,29,0.5296275000000001,0.48,23
sp|M9PE65|AXO_DROME,2179,0.3121872918770076,0.21340064249655805,261,0.24901181999999988,0.0,0
sp|A0A1F4|EYS_DROME,2176,0.3487187954963265,0.2931985294117647,239,0.61101182,0.88,31
sp|P10180|CUT_DROME,2175,0.6831563986206903,0.7439080459770115,610,0.34749872000000004,0.3,14
tr|Q9W198|Q9W198_DROME,2175,0.44798349057471254,0.41011494252873565,82,0.05300075999999999,0.0,0
tr|A0A0B4KGF6|A0A0B4KGF6_DROME,2172,0.21312511187845234,0.08011049723756906,48,0.39526833999999994,0.3,15
sp|Q9VL32|SUR_DROME,2171,0.2767203790879778,0.23998157531091663,153,0.014357780000000002,0.0,0
tr|A1ZAV3|A1ZAV3_DROME,2171,0.5977221165361569,0.6900046061722709,425,0.9153363600000002,1.0,50
tr|Q9VK42|Q9VK42_DROME,2171,0.5573650294795022,0.5826807922616306,335,0.6712474600000004,0.72,26
sp|Q9V3Z6|MYO7A_DROME,2167,0.20288538486386704,0.05445316105214582,22,0.17691929999999995,0.0,0
tr|Q9VQM0|Q9VQM0_DROME,2162,0.6252733903792793,0.7224791859389454,406,0.7747549600000001,1.0,50
tr|A0A0B4KG53|A0A0B4KG53_DROME,2159,0.6695117809170889,0.729504400185271,254,0.2152191,0.06,3
tr|M9PDM4|M9PDM4_DROME,2154,0.18006006267409425,0.05153203342618384,18,0.08825394000000002,0.0,0
tr|M9NFI9|M9NFI9_DROME,2148,0.6270342351024187,0.7271880819366853,450,0.5571135199999999,0.52,16
tr|Q7KUQ6|Q7KUQ6_DROME,2147,0.6374650032603616,0.7871448532836516,225,0.1731669,0.06,3
sp|P10040|CRB_DROME,2146,0.13800071435228323,0.02982292637465051,33,0.5284407799999999,0.68,33
