Protein_ID	MD5_Digest	Length	Analysis	Signature_Accession	Signature_Description	Start	Stop	Score	Status	Date	InterPro_Accession	InterPro_Description	GO_Annotations	Pathway_Annotations
XBmRNA36853|XBXL10_1g19921	8a5d80df6a66d80443b6d2a7b4e71c1f	352	Pfam	PF06297	PET Domain	94	194	3.90E-35	T	7/5/2026	IPR010442	PET domain	-	-
XBmRNA36853|XBXL10_1g19921	8a5d80df6a66d80443b6d2a7b4e71c1f	352	Pfam	PF00412	LIM domain	294	347	3.30E-06	T	7/5/2026	IPR001781	"Zinc finger, LIM-type"	-	-
XBmRNA36853|XBXL10_1g19921	8a5d80df6a66d80443b6d2a7b4e71c1f	352	Pfam	PF00412	LIM domain	229	289	1.50E-06	T	7/5/2026	IPR001781	"Zinc finger, LIM-type"	-	-
XBmRNA49125|XBXL10_1g26288	a969aad9bcba663f90820b27cd5d344d	1996	Pfam	PF03607	Doublecortin	177	232	9.50E-04	T	7/5/2026	IPR003533	Doublecortin domain	-	-
XBmRNA49125|XBXL10_1g26288	a969aad9bcba663f90820b27cd5d344d	1996	Pfam	PF03607	Doublecortin	55	109	9.50E-15	T	7/5/2026	IPR003533	Doublecortin domain	-	-
XBmRNA68891|XBXL10_1g36490	37e3cf11cc16e026d43287d8afb02045	317	Pfam	PF13853	Olfactory receptor	41	308	1.10E-32	T	7/5/2026	IPR000725	Olfactory receptor	-	-
XBmRNA21627|XBXL10_1g11527	515248b75e4e982ac522b78d867b975f	535	Pfam	PF00067	Cytochrome P450	44	296	1.60E-31	T	7/5/2026	IPR001128	Cytochrome P450	-	-
XBmRNA21627|XBXL10_1g11527	515248b75e4e982ac522b78d867b975f	535	Pfam	PF00067	Cytochrome P450	325	529	1.30E-64	T	7/5/2026	IPR001128	Cytochrome P450	-	-
XBmRNA80761|XBXL10_1g42966	18a04ae231c48780d9eb2a3903bc88bc	435	Pfam	PF06728	GPI transamidase subunit PIG-U	11	394	1.50E-118	T	7/5/2026	IPR009600	GPI transamidase subunit PIG-U	-	-
XBmRNA50608|XBXL10_1g27013	c3e10de5781013d44bb7e53437884e4c	253	Pfam	PF12796	Ankyrin repeats (3 copies)	20	107	5.00E-14	T	7/5/2026	IPR002110	Ankyrin repeat	-	-
XBmRNA40193|XBXL10_1g21679	94696c58212454e33563b24a69a21b3f	426	Pfam	PF00069	Protein kinase domain	48	329	5.60E-63	T	7/5/2026	IPR000719	Protein kinase domain	-	-
XBmRNA42995|XBXL10_1g23067	b95941cd61c4a4ffb4bcf3f8e0884632	393	Pfam	PF17098	WTAP/Mum2p family	68	222	1.50E-59	T	7/5/2026	IPR033757	Pre-mRNA-splicing regulator WTAP	-	-
XBmRNA41583|XBXL10_1g22352	5dbd4a7f0a9f11cb6c3824fc1f97a3fe	498	Pfam	PF07690	Major Facilitator Superfamily	27	404	8.30E-45	T	7/5/2026	IPR011701	Major facilitator superfamily	-	-
XBmRNA10169|XBXL10_1g5445	17eff741af7c09b92c1223e96e818110	353	Pfam	PF03151	Triose-phosphate Transporter family	46	331	6.10E-25	T	7/5/2026	IPR004853	Sugar phosphate transporter domain	-	-
XBmRNA31692|XBXL10_1g17094	ebfcfb5efe77058be8b46da4a3814d5d	743	Pfam	PF00233	3'5'-cyclic nucleotide phosphodiesterase	404	643	6.40E-92	T	7/5/2026	IPR002073	"3'5'-cyclic nucleotide phosphodiesterase, catalytic domain"	-	-
XBmRNA31692|XBXL10_1g17094	ebfcfb5efe77058be8b46da4a3814d5d	743	Pfam	PF18100	Phosphodiesterase 4 upstream conserved regions (UCR)	166	280	5.80E-52	T	7/5/2026	IPR040844	Phosphodiesterase 4 upstream conserved regions (UCR)	-	-
XBmRNA20619|XBXL10_1g10956	e2ffbcb1e71a021a5c8f9327a2960bab	496	Pfam	PF02434	Fringe-like	263	471	4.30E-66	T	7/5/2026	IPR003378	"Fringe-like, glycosyltransferase domain"	-	-
XBmRNA20619|XBXL10_1g10956	e2ffbcb1e71a021a5c8f9327a2960bab	496	Pfam	PF02434	Fringe-like	120	241	6.70E-04	T	7/5/2026	IPR003378	"Fringe-like, glycosyltransferase domain"	-	-
XBmRNA79880|XBXL10_1g42495	03eb97df74d3d0b49d44341872e9306f	522	Pfam	PF21388	"Spermatogenesis-associated protein 2, PUB-like domain"	9	201	9.60E-91	T	7/5/2026	IPR048839	"Spermatogenesis-associated protein 2, PUB-like domain"	-	-
XBmRNA16755|XBXL10_1g9010	1338c1990eb54254e2ca7a0589c2e128	471	Pfam	PF08953	Domain of unknown function (DUF1899)	4	69	1.70E-26	T	7/5/2026	IPR015048	Domain of unknown function DUF1899	-	-
XBmRNA16755|XBXL10_1g9010	1338c1990eb54254e2ca7a0589c2e128	471	Pfam	PF16300	Type of WD40 repeat	344	386	1.60E-18	T	7/5/2026	-	-	-	-
XBmRNA16755|XBXL10_1g9010	1338c1990eb54254e2ca7a0589c2e128	471	Pfam	PF00400	"WD domain, G-beta repeat"	122	160	0.57	T	7/5/2026	IPR001680	WD40 repeat	-	-
XBmRNA16755|XBXL10_1g9010	1338c1990eb54254e2ca7a0589c2e128	471	Pfam	PF00400	"WD domain, G-beta repeat"	77	109	0.0067	T	7/5/2026	IPR001680	WD40 repeat	-	-
XBmRNA16755|XBXL10_1g9010	1338c1990eb54254e2ca7a0589c2e128	471	Pfam	PF00400	"WD domain, G-beta repeat"	178	203	6.3	T	7/5/2026	IPR001680	WD40 repeat	-	-
XBmRNA9239|XBXL10_1g4935	76639ec5c67e8d095d6053e4a6d31e44	228	Pfam	PF13911	AhpC/TSA antioxidant enzyme	85	196	9.10E-17	T	7/5/2026	IPR032801	Peroxiredoxin-like 2A/B/C	-	-
XBmRNA1892|XBXL10_1g1174	f567090d5e90df27f5f758c59a1dcec7	255	Pfam	PF21481	"Dickkopf-related protein 1/2/4, C-terminal subdomain 1"	175	204	3.00E-15	T	7/5/2026	IPR048500	"Dickkopf-related protein 1/2/4, C-terminal subdomain 1"	-	-
XBmRNA1892|XBXL10_1g1174	f567090d5e90df27f5f758c59a1dcec7	255	Pfam	PF04706	Dickkopf N-terminal cysteine-rich region	76	127	3.50E-12	T	7/5/2026	IPR006796	"Dickkopf, N-terminal cysteine-rich"	-	-
XBmRNA1892|XBXL10_1g1174	f567090d5e90df27f5f758c59a1dcec7	255	Pfam	PF21479	"Dickkopf-related protein 1/2/4, C-terminal subdomain 2"	207	254	1.10E-18	T	7/5/2026	IPR048499	"Dickkopf-related protein 1/2/4, C-terminal subdomain 2"	-	-
XBmRNA51935|XBXL10_1g27670	af3cdf41ca21ebcc6a23acad5a9e0451	303	Pfam	PF22191	IBR domain	189	224	9.80E-05	T	7/5/2026	-	-	-	-
XBmRNA51935|XBXL10_1g27670	af3cdf41ca21ebcc6a23acad5a9e0451	303	Pfam	PF01485	"IBR domain, a half RING-finger domain"	102	166	5.70E-09	T	7/5/2026	IPR002867	IBR domain	-	-
XBmRNA24240|XBXL10_1g12843	15ef481b19e9e57c84909c399f4453d6	548	Pfam	PF00076	RNA recognition motif	152	220	4.90E-08	T	7/5/2026	IPR000504	RNA recognition motif domain	-	-
XBmRNA24240|XBXL10_1g12843	15ef481b19e9e57c84909c399f4453d6	548	Pfam	PF00076	RNA recognition motif	61	128	2.30E-09	T	7/5/2026	IPR000504	RNA recognition motif domain	-	-
XBmRNA24240|XBXL10_1g12843	15ef481b19e9e57c84909c399f4453d6	548	Pfam	PF00076	RNA recognition motif	465	535	1.80E-14	T	7/5/2026	IPR000504	RNA recognition motif domain	-	-
XBmRNA50704|XBXL10_1g27067	4fe94fe8708267f8afa3027be1501390	650	Pfam	PF26039	Dcst2 domain	86	164	6.30E-04	T	7/5/2026	-	-	-	-
XBmRNA50704|XBXL10_1g27067	4fe94fe8708267f8afa3027be1501390	650	Pfam	PF26037	"E3 ubiquitin-protein ligase DCST1-like, C-terminal RING domain"	597	639	1.70E-05	T	7/5/2026	IPR058842	"E3 ubiquitin-protein ligase DCST1-like, C-terminal domain"	-	-
XBmRNA50704|XBXL10_1g27067	4fe94fe8708267f8afa3027be1501390	650	Pfam	PF07782	DC-STAMP-like protein	358	548	2.40E-44	T	7/5/2026	IPR012858	Dendritic cell-specific transmembrane protein-like	-	-
XBmRNA23044|XBXL10_1g12329	50c8cab2fe46be9b3238736d4a61dc8c	182	Pfam	PF06387	D1 dopamine receptor-interacting protein (calcyon)	1	180	8.90E-80	T	7/5/2026	IPR009431	Neuronal vesicle trafficking-associated protein	-	-
XBmRNA50312|XBXL10_1g26874	b0b89dda9f2fd76db93b0ae06a45c13b	270	Pfam	PF00010	Helix-loop-helix DNA-binding domain	121	171	3.70E-18	T	7/5/2026	IPR011598	"Myc-type, basic helix-loop-helix (bHLH) domain"	-	-
XBmRNA64354|XBXL10_1g34121	20e74c5f2bfd388ef947461a5152067b	424	Pfam	PF10183	ESSS subunit of NADH:ubiquinone oxidoreductase (complex I)	1	27	4.50E-04	T	7/5/2026	IPR019329	"NADH:ubiquinone oxidoreductase, ESSS subunit"	-	-
XBmRNA64354|XBXL10_1g34121	20e74c5f2bfd388ef947461a5152067b	424	Pfam	PF00069	Protein kinase domain	63	315	3.10E-61	T	7/5/2026	IPR000719	Protein kinase domain	-	-
XBmRNA31760|XBXL10_1g17133	cc4e67a5689bb9e2957717c840f9076b	880	Pfam	PF01031	Dynamin central region	215	498	2.50E-100	T	7/5/2026	IPR000375	Dynamin stalk domain	-	-
XBmRNA31760|XBXL10_1g17133	cc4e67a5689bb9e2957717c840f9076b	880	Pfam	PF02212	Dynamin GTPase effector domain	658	746	4.10E-23	T	7/5/2026	IPR003130	Dynamin GTPase effector	-	-
XBmRNA31760|XBXL10_1g17133	cc4e67a5689bb9e2957717c840f9076b	880	Pfam	PF00169	PH domain	530	630	5.20E-10	T	7/5/2026	IPR001849	Pleckstrin homology domain	-	-
XBmRNA31760|XBXL10_1g17133	cc4e67a5689bb9e2957717c840f9076b	880	Pfam	PF00350	Dynamin family	34	207	1.30E-50	T	7/5/2026	IPR045063	"Dynamin, N-terminal"	-	-
XBmRNA72346|XBXL10_1g38284	743e5777b25aa0208f9f9931e914baa3	1135	Pfam	PF12057	BCL2-associated athanogene 6	241	352	3.60E-35	T	7/5/2026	IPR021925	Large proline-rich protein BAG6	-	-
XBmRNA72346|XBXL10_1g38284	743e5777b25aa0208f9f9931e914baa3	1135	Pfam	PF00240	Ubiquitin family	9	77	4.10E-14	T	7/5/2026	IPR000626	Ubiquitin-like domain	-	-
XBmRNA72346|XBXL10_1g38284	743e5777b25aa0208f9f9931e914baa3	1135	Pfam	PF20960	"Bag6, BAG-similar domain"	1062	1114	2.20E-15	T	7/5/2026	IPR048926	"Bag6, BAG-similar domain"	-	-
XBmRNA79214|XBXL10_1g42140	122340c4770a5446217062247da959d8	342	Pfam	PF00069	Protein kinase domain	4	289	2.00E-75	T	7/5/2026	IPR000719	Protein kinase domain	-	-
XBmRNA37738|XBXL10_1g20523	420a58120a6038e737ff94ce7d218560	99	Pfam	PF06645	Microsomal signal peptidase 12 kDa subunit (SPC12)	12	81	7.60E-27	T	7/5/2026	IPR009542	Signal peptidase complex subunit 1	-	-
XBmRNA29534|XBXL10_1g15796	51d5dfe995bd5e03520e3c540bd1c090	307	Pfam	PF10204	Dual oxidase maturation factor	10	283	7.30E-106	T	7/5/2026	IPR018469	Dual oxidase maturation factor	-	-
XBmRNA5136|XBXL10_1g2877	18a9b069318f3b40a29af23b50e52621	608	Pfam	PF00017	SH2 domain	124	209	2.20E-21	T	7/5/2026	IPR000980	SH2 domain	-	-
XBmRNA5136|XBXL10_1g2877	18a9b069318f3b40a29af23b50e52621	608	Pfam	PF00017	SH2 domain	18	93	1.80E-21	T	7/5/2026	IPR000980	SH2 domain	-	-
XBmRNA5136|XBXL10_1g2877	18a9b069318f3b40a29af23b50e52621	608	Pfam	PF00102	Protein-tyrosine phosphatase	285	531	1.20E-77	T	7/5/2026	IPR000242	"Tyrosine-specific protein phosphatase, PTPase domain"	-	-
XBmRNA34899|XBXL10_1g18939	cbc1be6ae1afd523fdf5007f1a71ff51	443	Pfam	PF03096	Ndr family	97	378	4.80E-117	T	7/5/2026	IPR004142	NDRG	-	-
XBmRNA30293|XBXL10_1g16161	d6c721f7336ddfc7a0ba782d58c9e16a	626	Pfam	PF11879	Domain of unknown function (DUF3399)	472	544	1.30E-26	T	7/5/2026	IPR024587	"Potassium channel, voltage dependent, Kv4, C-terminal"	-	-
XBmRNA30293|XBXL10_1g16161	d6c721f7336ddfc7a0ba782d58c9e16a	626	Pfam	PF11601	"Shal-type voltage-gated potassium channels, N-terminal"	3	28	1.60E-09	T	7/5/2026	IPR021645	"Shal-type voltage-gated potassium channels, N-terminal"	-	-
XBmRNA30293|XBXL10_1g16161	d6c721f7336ddfc7a0ba782d58c9e16a	626	Pfam	PF02214	BTB/POZ domain	43	132	1.40E-24	T	7/5/2026	IPR003131	Potassium channel tetramerisation-type BTB domain	-	-
XBmRNA30293|XBXL10_1g16161	d6c721f7336ddfc7a0ba782d58c9e16a	626	Pfam	PF00520	Ion transport protein	186	416	2.30E-42	T	7/5/2026	IPR005821	Ion transport domain	-	-
XBmRNA38486|XBXL10_1g20880	8205937cf2060fdede32ab777854f368	1672	Pfam	PF23629	MAP kinase-activating death domain protein death domain	1361	1436	1.70E-37	T	7/5/2026	IPR056574	"MAP kinase-activating death domain protein, death domain"	-	-
XBmRNA38486|XBXL10_1g20880	8205937cf2060fdede32ab777854f368	1672	Pfam	PF03456	uDENN domain	32	97	2.30E-11	T	7/5/2026	IPR005113	uDENN domain	-	-
XBmRNA38486|XBXL10_1g20880	8205937cf2060fdede32ab777854f368	1672	Pfam	PF02141	DENN (AEX-3) domain	164	391	1.80E-28	T	7/5/2026	IPR001194	cDENN domain	-	-
XBmRNA38486|XBXL10_1g20880	8205937cf2060fdede32ab777854f368	1672	Pfam	PF26658	MADD penultimate PH-like domain	1460	1557	1.30E-46	T	7/5/2026	IPR060049	"MADD, penultimate PH-like domain"	-	-
XBmRNA38486|XBXL10_1g20880	8205937cf2060fdede32ab777854f368	1672	Pfam	PF25328	MADD C-terminal PH-like domain	1560	1652	2.30E-36	T	7/5/2026	IPR057469	"MAP kinase-activating death domain protein, C-terminal PH-like domain"	-	-
XBmRNA24475|XBXL10_1g12928	9bc5eb8e28a471802bd1f5b9f83696c5	179	Pfam	PF00334	Nucleoside diphosphate kinase	12	147	1.20E-34	T	7/5/2026	IPR034907	Nucleoside diphosphate kinase-like domain	-	-
XBmRNA61143|XBXL10_1g32411	618dc904db9eb0ff90f8cfb3586e475a	1461	Pfam	PF07678	A-macroglobulin TED domain	947	1250	1.10E-105	T	7/5/2026	IPR011626	"Alpha-macroglobulin-like, TED domain"	-	-
XBmRNA61143|XBXL10_1g32411	618dc904db9eb0ff90f8cfb3586e475a	1461	Pfam	PF01835	MG2 domain	124	204	7.40E-15	T	7/5/2026	IPR002890	Macroglobulin domain	-	-
XBmRNA61143|XBXL10_1g32411	618dc904db9eb0ff90f8cfb3586e475a	1461	Pfam	PF07677	A-macroglobulin receptor binding domain	1358	1448	4.20E-23	T	7/5/2026	IPR009048	"Alpha-macroglobulin, receptor-binding"	-	-
XBmRNA61143|XBXL10_1g32411	618dc904db9eb0ff90f8cfb3586e475a	1461	Pfam	PF17789	Macroglobulin domain MG4	337	417	6.30E-10	T	7/5/2026	IPR040839	Macroglobulin domain MG4	-	-
XBmRNA61143|XBXL10_1g32411	618dc904db9eb0ff90f8cfb3586e475a	1461	Pfam	PF07703	Alpha-2-macroglobulin bait region domain	447	598	7.70E-24	T	7/5/2026	IPR011625	"Alpha-2-macroglobulin, bait region domain"	-	-
XBmRNA61143|XBXL10_1g32411	618dc904db9eb0ff90f8cfb3586e475a	1461	Pfam	PF00207	Alpha-2-macroglobulin family	735	823	1.50E-25	T	7/5/2026	IPR001599	Alpha-2-macroglobulin	-	-
XBmRNA61143|XBXL10_1g32411	618dc904db9eb0ff90f8cfb3586e475a	1461	Pfam	PF17791	Macroglobulin domain MG3	213	297	1.20E-19	T	7/5/2026	IPR041555	Macroglobulin domain MG3	-	-
XBmRNA20287|XBXL10_1g10776	52e30fa981f53cd93c9b84defb38e0bf	359	Pfam	PF02434	Fringe-like	95	237	3.40E-10	T	7/5/2026	IPR003378	"Fringe-like, glycosyltransferase domain"	-	-
XBmRNA30428|XBXL10_1g16216	7b057dfdbee0ff5fbd5753e2a58cb28f	132	Pfam	PF12020	TAFA family	42	130	1.10E-42	T	7/5/2026	IPR020350	Chemokine-like protein TAFA	-	-
XBmRNA31036|XBXL10_1g16527	3244b62a2dc8474cd451ef886844a1da	537	Pfam	PF08336	"Prolyl 4-Hydroxylase alpha-subunit, N-terminal region"	26	157	2.80E-38	T	7/5/2026	IPR013547	"Prolyl 4-hydroxylase, N-terminal"	-	-
XBmRNA31036|XBXL10_1g16527	3244b62a2dc8474cd451ef886844a1da	537	Pfam	PF23558	Prolyl 4-hydroxylase peptide-substrate-binding domain	166	255	1.20E-34	T	7/5/2026	IPR059068	"Prolyl 4-hydroxylase, peptide-substrate-binding domain"	-	-
XBmRNA31036|XBXL10_1g16527	3244b62a2dc8474cd451ef886844a1da	537	Pfam	PF13640	2OG-Fe(II) oxygenase superfamily	418	521	9.80E-11	T	7/5/2026	IPR044862	"Prolyl 4-hydroxylase alpha subunit, Fe(2+) 2OG dioxygenase domain"	-	-
XBmRNA27706|XBXL10_1g14889	0fd091983a3a8160fa63feec2770cf3f	306	Pfam	PF13853	Olfactory receptor	31	303	7.50E-42	T	7/5/2026	IPR000725	Olfactory receptor	-	-
XBmRNA27735|XBXL10_1g14917	8b15f7359ab903ffdcff43b375b0679a	278	Pfam	PF11560	Lamina-associated polypeptide 2 alpha	140	266	0.0034	T	7/5/2026	IPR021623	"Lamina-associated polypeptide 2 alpha, C-terminal"	-	-
XBmRNA49609|XBXL10_1g26561	89980a9171c50bfafe7b4d88959186fa	161	Pfam	PF00096	"Zinc finger, C2H2 type"	112	134	0.16	T	7/5/2026	IPR013087	Zinc finger C2H2-type	-	-
XBmRNA49609|XBXL10_1g26561	89980a9171c50bfafe7b4d88959186fa	161	Pfam	PF00096	"Zinc finger, C2H2 type"	28	50	0.039	T	7/5/2026	IPR013087	Zinc finger C2H2-type	-	-
XBmRNA49609|XBXL10_1g26561	89980a9171c50bfafe7b4d88959186fa	161	Pfam	PF00096	"Zinc finger, C2H2 type"	56	78	0.046	T	7/5/2026	IPR013087	Zinc finger C2H2-type	-	-
XBmRNA49609|XBXL10_1g26561	89980a9171c50bfafe7b4d88959186fa	161	Pfam	PF00096	"Zinc finger, C2H2 type"	84	106	17	T	7/5/2026	IPR013087	Zinc finger C2H2-type	-	-
XBmRNA27282|XBXL10_1g14552	9736721d563a2c5f765d803227ebe76d	261	Pfam	PF07686	Immunoglobulin V-set domain	31	128	3.30E-06	T	7/5/2026	IPR013106	Immunoglobulin V-set domain	-	-
XBmRNA23245|XBXL10_1g12428	636fc2a3316f5a941d7e35c2a35b0f22	606	Pfam	PF00474	Sodium:solute symporter family	45	448	6.10E-35	T	7/5/2026	IPR001734	Sodium/solute symporter	-	-
XBmRNA57532|XBXL10_1g30547	d47d275d923f9fc7d8bc6dc586a1c156	357	Pfam	PF00270	DEAD/DEAH box helicase	117	191	5.00E-11	T	7/5/2026	IPR011545	DEAD/DEAH-box helicase domain	-	-
XBmRNA57532|XBXL10_1g30547	d47d275d923f9fc7d8bc6dc586a1c156	357	Pfam	PF00270	DEAD/DEAH box helicase	65	106	7.70E-07	T	7/5/2026	IPR011545	DEAD/DEAH-box helicase domain	-	-
XBmRNA57437|XBXL10_1g30487	309edf0bd38553d2c515a84fecbc934a	494	Pfam	PF00515	Tetratricopeptide repeat	447	477	5.00E-06	T	7/5/2026	IPR019734	Tetratricopeptide repeat	-	-
XBmRNA17184|XBXL10_1g9207	eab0bfd1827a70437c3f770aa6d0a96c	373	Pfam	PF08205	CD80-like C2-set immunoglobulin domain	257	327	0.19	T	7/5/2026	IPR013162	"CD80-like, immunoglobulin C2-set"	-	-
XBmRNA17184|XBXL10_1g9207	eab0bfd1827a70437c3f770aa6d0a96c	373	Pfam	PF07686	Immunoglobulin V-set domain	145	238	2.90E-04	T	7/5/2026	IPR013106	Immunoglobulin V-set domain	-	-
XBmRNA17184|XBXL10_1g9207	eab0bfd1827a70437c3f770aa6d0a96c	373	Pfam	PF07686	Immunoglobulin V-set domain	35	125	7.50E-06	T	7/5/2026	IPR013106	Immunoglobulin V-set domain	-	-
XBmRNA38821|XBXL10_1g20992	d7dc5589704150e17e13aad76b71be18	278	Pfam	PF18701	Family of unknown function (DUF5641)	174	270	2.40E-23	T	7/5/2026	IPR040676	Domain of unknown function DUF5641	-	-
XBmRNA15534|XBXL10_1g8216	617cfdbf37fe762b5fbe7562df66b90c	162	Pfam	PF00010	Helix-loop-helix DNA-binding domain	70	119	6.70E-14	T	7/5/2026	IPR011598	"Myc-type, basic helix-loop-helix (bHLH) domain"	-	-
XBmRNA25919|XBXL10_1g13639	e633f9578c3ab831eabec9936c80103c	306	Pfam	PF13853	Olfactory receptor	29	300	9.90E-45	T	7/5/2026	IPR000725	Olfactory receptor	-	-
XBmRNA3858|XBXL10_1g2110	a11808cb6df4c407a0c12e65231e605b	458	Pfam	PF00104	Ligand-binding domain of nuclear hormone receptor	258	430	9.50E-21	T	7/5/2026	IPR000536	"Nuclear hormone receptor, ligand-binding domain"	-	-
XBmRNA3858|XBXL10_1g2110	a11808cb6df4c407a0c12e65231e605b	458	Pfam	PF00105	"Double treble clef zinc finger, C4 type"	9	77	1.70E-29	T	7/5/2026	IPR001628	"Zinc finger, nuclear hormone receptor-type"	-	-
XBmRNA59091|XBXL10_1g31237	156d333580b27fde00f67d63014545b2	340	Pfam	PF25391	G protein beta WD-40 repeat protein	1	340	6.50E-231	T	7/5/2026	IPR016346	G-protein subunit beta 1-5	-	-
XBmRNA28293|XBXL10_1g15180	b1a54cb2c75a03371578c4a2a7ce166b	503	Pfam	PF00076	RNA recognition motif	378	431	1.80E-08	T	7/5/2026	IPR000504	RNA recognition motif domain	-	-
XBmRNA28293|XBXL10_1g15180	b1a54cb2c75a03371578c4a2a7ce166b	503	Pfam	PF02136	Nuclear transport factor 2 (NTF2) domain	44	166	2.70E-30	T	7/5/2026	IPR002075	Nuclear transport factor 2 domain	-	-
XBmRNA57669|XBXL10_1g30617	578cc71ecb222289578f97f13704c5d2	883	Pfam	PF14566	Inositol hexakisphosphate	175	343	7.30E-36	T	7/5/2026	-	-	-	-
XBmRNA57669|XBXL10_1g30617	578cc71ecb222289578f97f13704c5d2	883	Pfam	PF14566	Inositol hexakisphosphate	560	706	7.40E-36	T	7/5/2026	-	-	-	-
XBmRNA24350|XBXL10_1g12885	797437c8f0a8b796ff0e4f42705da710	477	Pfam	PF08600	"NuBaID, C-terminal domain"	242	447	5.20E-26	T	7/5/2026	IPR013909	"NuBaID, C-terminal domain"	-	-
