Uniprot_ID,Flybase_ID,Gene_Symbol,Name,XSome_Loc,Xsome_Coord,FBtr_ID,FBpp_ID,Source,Description
B7Z002,FBgn0266557,kis,kismet,2L,210735..250823(-1),"FBtr0078144, FBtr0299837, FBtr0078145, FBtr0308253, FBtr0308254, FBtr0308255","FBpp0300574, FBpp0289115, FBpp0300573, FBpp0077803, FBpp0300575, FBpp0077804",FlyBase Gene Snapshot,"kismet (kis) encodes a chromodomain containing ATP-dependent transcription factor that controls gene expression through epigenetic mechanisms. The roles of the product of kis include developmental patterning of the embryo, cell proliferation, eye development, synaptic transmission, axonal pruning, and memory."
Q9W596,FBgn0259108,futsch,futsch,X,1409069..1453686(1),"FBtr0112628, FBtr0307597, FBtr0307598","FBpp0300236, FBpp0300235, FBpp0111540",FlyBase Gene Snapshot,futsch (futsch) encodes a microtubule binding protein involved in the formation of synaptic buttons at the neuromuscular junctions. Its expression levels are regulated by the product of TBPH to prevent synaptic defects.
Q9VLT5,FBgn0011230,poe,purity of essence,2L,8054322..8071624(-1),"FBtr0333088, FBtr0079545","FBpp0079167, FBpp0305301",FlyBase Gene Snapshot,"purity of essence (poe) encodes a Calmodulin-binding, E3 ubiquitin ligase. It functions in glial growth in peripheral nerves, motor neuron excitability, synaptic vesicle release and sperm individuation."
Q9NB71,FBgn0030600,hiw,highwire,X,15010137..15063429(-1),"FBtr0346087, FBtr0073970","FBpp0311921, FBpp0073787",UniProtKB,"Atypical E3 ubiquitin-protein ligase which specifically mediates ubiquitination of threonine and serine residues on target proteins, instead of ubiquitinating lysine residues (By similarity). Shows esterification activity towards both threonine and serine, with a preference for threonine, and acts via two essential catalytic cysteine residues that relay ubiquitin to its substrate via thioester intermediates (By similarity). Required in the presynaptic motoneuron to down-regulate the levels of wnd and restrain synaptic terminal growth at the neuromuscular junction (NMJ) together with Rae1 and Fsn (PubMed:10839352, PubMed:21874015, PubMed:17697379). (UniProtKB:Q9NB71)"
M9PDW8,FBgn0085446,CG34417,N/A,X,6540771..6589173(1),"FBtr0336674, FBtr0112706, FBtr0336675, FBtr0336676, FBtr0301323, FBtr0303205, FBtr0336677, FBtr0308093, FBtr0336673, FBtr0112707, FBtr0336670, FBtr0345070, FBtr0345068, FBtr0345069, FBtr0336672, FBtr0336669, FBtr0112704, FBtr0336671, FBtr0112703, FBtr0301324, FBtr0303206","FBpp0307652, FBpp0307651, FBpp0307650, FBpp0111618, FBpp0111615, FBpp0307653, FBpp0292303, FBpp0311299, FBpp0111619, FBpp0290538, FBpp0311298, FBpp0292304, FBpp0307658, FBpp0111616, FBpp0307657, FBpp0290539, FBpp0311300, FBpp0307655, FBpp0307656, FBpp0307654, FBpp0300436",Alliance,Predicted to be involved in actin cytoskeleton organization. Predicted to be part of filamentous actin. Predicted to be active in microtubule organizing center. Is expressed in adult head; adult heart; embryonic/larval muscle system; and spermatozoon.
X2JF73,FBgn0030674,HUWE1,"HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1",X,15712628..15731935(1),"FBtr0339690, FBtr0339687, FBtr0340304, FBtr0074082, FBtr0339688, FBtr0339686, FBtr0339689","FBpp0308747, FBpp0308744, FBpp0308743, FBpp0308745, FBpp0309265, FBpp0073898, FBpp0308746",Alliance,"Predicted to enable ubiquitin protein ligase activity. Involved in several processes, including dsRNA transport; negative regulation of signal transduction; and regulation of axonogenesis. Located in nucleus. Is expressed in adult head and spermatozoon. Human ortholog(s) of this gene implicated in syndromic X-linked intellectual disability Turner type. Orthologous to human HUWE1 (HECT, UBA and WWE domain containing E3 ubiquitin protein ligase 1)."
X2JA38,FBgn0261671,tweek,tweek,2L,16888490..16917052(1),"FBtr0340173, FBtr0304930, FBtr0304927, FBtr0304928, FBtr0340172, FBtr0304929","FBpp0309158, FBpp0309157, FBpp0293467, FBpp0293469, FBpp0293468, FBpp0293466",FlyBase Gene Snapshot,tweek (tweek) encodes a protein involved in the endocytosis of synaptic vesicles.
P33450,FBgn0001075,ft,fat,2L,4198404..4221796(-1),FBtr0077478,FBpp0077167,FlyBase Gene Snapshot,fat (ft) is a tumor suppressor gene that encodes a large cadherin family transmembrane protein. It functions in the Hippo signaling pathway (as a receptor) and the Dachsous-Fat planar cell polarity pathway (as a transmembrane component).
Q24498,FBgn0011286,RyR,Ryanodine receptor,2R,8860364..8888097(1),"FBtr0088640, FBtr0304572, FBtr0308083, FBtr0088639, FBtr0304571, FBtr0088637, FBtr0304570, FBtr0088638, FBtr0304568, FBtr0304569","FBpp0087718, FBpp0087721, FBpp0087719, FBpp0293112, FBpp0300426, FBpp0293113, FBpp0293111, FBpp0087720, FBpp0293114, FBpp0293110",FlyBase Gene Snapshot,Ryanodine receptor (RyR) encodes an intracellular calcium channel localized in the sarcoplasmic reticulum of muscles and the endoplasmic reticulum of neurons and other cell types. It regulates the release of intracellular calcium stores and has a key role in muscle contraction.
Q9VAV5,FBgn0013813,Dhc98D,Dynein heavy chain at 89D,3R,28486953..28519398(1),"FBtr0301303, FBtr0301302, FBtr0337034","FBpp0307963, FBpp0290517, FBpp0290518",Alliance,Predicted to enable dynein intermediate chain binding activity; dynein light intermediate chain binding activity; and minus-end-directed microtubule motor activity. Involved in flagellated sperm motility. Is active in sperm flagellum. Is expressed in adult head; spermatogonium; spermatozoon; and testis. Used to study obesity. Human ortholog(s) of this gene implicated in spermatogenic failure 56. Orthologous to human DNAH10 (dynein axonemal heavy chain 10).
A0A0B4KG50,FBgn0266717,Bruce,BIR repeat containing ubiquitin-conjugating enzyme,3R,10312039..10331353(-1),"FBtr0331681, FBtr0331684, FBtr0331682, FBtr0331683, FBtr0082239","FBpp0304071, FBpp0304073, FBpp0304072, FBpp0304070, FBpp0081717",FlyBase Gene Snapshot,"BIR repeat containing ubiquitin-conjugating enzyme (Bruce) encodes a BIR domain containing anti-apoptotic protein of the inhibitor of apoptosis (IAP) protein family. It blocks apoptosis in part by binding to and ubiquitylating pro-apoptotic proteins such as the product of rpr. Bruce mutants are viable, but are vulnerable to apoptosis and show defects in spermatid differentiation."
Q9VR91,FBgn0031107,HERC2,HECT and RLD domain containing protein 2,X,20394395..20412247(1),FBtr0301344,FBpp0290558,UniProtKB,Probable E3 ubiquitin-protein ligase which accepts ubiquitin from an E2 ubiquitin-conjugating enzyme in the form of a thioester and then directly transfers the ubiquitin to targeted substrates. (UniProtKB:Q9VR91)
Q0KI05,FBgn0039510,CG3339,N/A,3R,27294286..27322325(-1),FBtr0273192,FBpp0271700,Alliance,Predicted to enable dynein intermediate chain binding activity; dynein light intermediate chain binding activity; and minus-end-directed microtubule motor activity. Predicted to be involved in cilium movement. Predicted to be part of outer dynein arm. Predicted to be active in axoneme and motile cilium. Is expressed in antenna; chordotonal neurons; and spermatozoon. Human ortholog(s) of this gene implicated in Kartagener syndrome; primary ciliary dyskinesia 40; and primary ciliary dyskinesia 7. Orthologous to several human genes including DNAH9 (dynein axonemal heavy chain 9).
A8JTM7,FBgn0261260,mgl,Megalin,X,9358496..9500129(-1),"FBtr0343369, FBtr0302153, FBtr0343370, FBtr0343371","FBpp0291363, FBpp0310027, FBpp0310026, FBpp0310028",FlyBase Gene Snapshot,Megalin (mgl) encodes a protein involved in cuticle development and endocytosis regulation.
A0A0B4KFD1,FBgn0053087,LRP1,LDL receptor protein 1,2R,8174165..8226438(1),"FBtr0344893, FBtr0344894","FBpp0311205, FBpp0311204",Alliance,"Predicted to enable calcium ion binding activity. Involved in regulation of axon guidance. Located in dendrite. Is expressed in adult brain cell body rind; adult head; and spermatozoon. Human ortholog(s) of this gene implicated in several diseases, including gastrointestinal system cancer (multiple); keratosis pilaris atrophicans; lung disease (multiple); myocardial infarction; and sciatic neuropathy. Orthologous to several human genes including LRP1B (LDL receptor related protein 1B)."
A0A0B4LH20,FBgn0287844,Dhc1,Dynein heavy chain 1,3R,9651179..9674643(-1),"FBtr0344344, FBtr0309029, FBtr0309027, FBtr0309028","FBpp0301056, FBpp0301057, FBpp0301058, FBpp0310725",Alliance,Predicted to enable ATP binding activity. Involved in sensory perception of sound. Predicted to be part of outer dynein arm. Is expressed in antenna; chordotonal neurons; and spermatozoon. Used to study sensorineural hearing loss.
Q86BA1,FBgn0053208,Mical,Molecule interacting with CasL,3R,10001554..10042895(-1),"FBtr0082213, FBtr0306609, FBtr0082212, FBtr0347212, FBtr0273185, FBtr0347214, FBtr0082209, FBtr0347211, FBtr0347213, FBtr0082206, FBtr0082208, FBtr0306608, FBtr0082207, FBtr0082210","FBpp0081690, FBpp0271693, FBpp0312509, FBpp0081687, FBpp0081684, FBpp0297564, FBpp0081685, FBpp0312510, FBpp0081686, FBpp0297563, FBpp0081691, FBpp0312511, FBpp0312512, FBpp0081688",FlyBase Gene Snapshot,"Molecule interacting with CasL (Mical) encodes a multi-domain flavoprotein monooxygenase (Redox) enzyme. It is activated by actin filaments, and then oxidizes actin on methionines 44 and 47, disassembling the actin filaments and inhibiting actin polymerization. This regulates cell morphology in the nervous system and muscle, working with the the receptor encoded by PlexA and cofilin, encoded by tsr."
Q9VW71,FBgn0261574,kug,kugelei,3L,20005301..20024607(1),"FBtr0332721, FBtr0332722, FBtr0346077","FBpp0304968, FBpp0311915, FBpp0304967",FlyBase Gene Snapshot,"kugelei (kug) (also known as Fat2 or Fat-like) encodes a member of the cadherin superfamily of transmembrane proteins, which mediate cell-cell adhesion and/or cell-cell communication. It is related to the product of ft and its roles include control of planar cell polarity, collective cell migration and morphogenesis."
P37276,FBgn0261797,Dhc64C,Dynein heavy chain 64C,3L,4807368..4825687(-1),"FBtr0332747, FBtr0073359, FBtr0332750, FBtr0332749, FBtr0332745, FBtr0273370, FBtr0332748, FBtr0332746","FBpp0271878, FBpp0073215, FBpp0304991, FBpp0304990, FBpp0304986, FBpp0304989, FBpp0304987, FBpp0304988",FlyBase Gene Snapshot,"Dynein heavy chain 64C (Dhc64C) encodes the heavy chain subunit of the cytoplasmic dynein motor complex. The product of Dhc64C forms a dimer, which binds and hydrolyzes ATP providing the power for movement of dynein. It has an essential function in oocyte polarity, mitotic cell division, embryonic development, and neuronal transport and neurogenesis."
M9NDS9,FBgn0263132,Cht6,Chitinase 6,X,10016845..10050803(1),"FBtr0307370, FBtr0307375, FBtr0307373, FBtr0307372, FBtr0307369, FBtr0307371, FBtr0307374","FBpp0298364, FBpp0298359, FBpp0298360, FBpp0298363, FBpp0298361, FBpp0298358, FBpp0298362",FlyBase Gene Snapshot,Chitinase 6 (Cht6) encodes an enzyme involved in ecdysis.
A8Y5B7,FBgn0267432,kl-3,male fertility factor kl3,Y,336381..563165(1),FBtr0346771,FBpp0312366,FlyBase Gene Snapshot,male fertility factor kl3 (kl-3) encodes a dynein heavy chain that is a component of a microtubule motor complex. This motor activity is essential only for spermatogenesis. Lack of kl-3 results in loss of the axonemal out dynein arms in the spermatid tail.
Q5LJN5,FBgn0267433,kl-5,male fertility factor kl5,Y,22250..137486(-1),FBtr0346772,FBpp0312367,Alliance,"Predicted to enable several functions, including ATP binding activity; dynein intermediate chain binding activity; and dynein light intermediate chain binding activity. Involved in flagellated sperm motility. Part of axonemal dynein complex. Is active in sperm flagellum. Is expressed in adult head; organism; spermatogonium; spermatozoon; and testis. Human ortholog(s) of this gene implicated in primary ciliary dyskinesia 40. Orthologous to human DNAH9 (dynein axonemal heavy chain 9)."
X2JAM4,FBgn0266696,Svil,Supervillin,3L,2377655..2499226(1),"FBtr0345095, FBtr0345112, FBtr0345089, FBtr0345115, FBtr0345093, FBtr0345097, FBtr0345108, FBtr0345113, FBtr0345106, FBtr0345102, FBtr0345085, FBtr0345091, FBtr0345087, FBtr0345088, FBtr0345101, FBtr0345104, FBtr0345103, FBtr0345111, FBtr0345099, FBtr0345086, FBtr0345096, FBtr0345094, FBtr0345098, FBtr0345092, FBtr0345107, FBtr0345105, FBtr0345090, FBtr0345100, FBtr0345109, FBtr0345114, FBtr0345110","FBpp0311314, FBpp0311321, FBpp0311312, FBpp0311313, FBpp0311324, FBpp0311332, FBpp0311330, FBpp0311334, FBpp0311331, FBpp0311339, FBpp0311335, FBpp0311337, FBpp0311333, FBpp0311316, FBpp0311338, FBpp0311329, FBpp0311318, FBpp0311315, FBpp0311340, FBpp0311310, FBpp0311323, FBpp0311322, FBpp0311311, FBpp0311319, FBpp0311326, FBpp0311317, FBpp0311320, FBpp0311327, FBpp0311325, FBpp0311336, FBpp0311328",Alliance,"Predicted to enable actin filament binding activity and phosphatidylinositol-4,5-bisphosphate binding activity. Predicted to be involved in actin filament severing; actin polymerization or depolymerization; and barbed-end actin filament capping. Predicted to be active in actin cytoskeleton and cytoplasm. Is expressed in several structures, including anlage in statu nascendi; ectoderm anlage; presumptive embryonic/larval system; testis; and trunk ectoderm. Human ortholog(s) of this gene implicated in myofibrillar myopathy 10. Orthologous to human SVIL (supervillin)."
A0A0B4KHJ4,FBgn0013812,Dhc93AB,Dynein heavy chain at 93AB,3R,21024580..21042499(-1),"FBtr0336774, FBtr0273236","FBpp0271744, FBpp0307750",FlyBase Gene Snapshot,Dynein heavy chain at 93AB (Dhc93AB) encodes a motor protein involved in hearing.
Q9W4Y3,FBgn0284408,trol,terribly reduced optic lobes,X,2470460..2545427(-1),"FBtr0342816, FBtr0342823, FBtr0342814, FBtr0342824, FBtr0342820, FBtr0342817, FBtr0342809, FBtr0479747, FBtr0342810, FBtr0342813, FBtr0342821, FBtr0342818, FBtr0342822, FBtr0342808, FBtr0342825, FBtr0342807, FBtr0481645, FBtr0342806, FBtr0342811, FBtr0342819, FBtr0475303, FBtr0481646, FBtr0342815, FBtr0342826, FBtr0342812","FBpp0309648, FBpp0428090, FBpp0309660, FBpp0309662, FBpp0309649, FBpp0428428, FBpp0309656, FBpp0309654, FBpp0309661, FBpp0309642, FBpp0309651, FBpp0309657, FBpp0309652, FBpp0309653, FBpp0309655, FBpp0309659, FBpp0309658, FBpp0309647, FBpp0309645, FBpp0423412, FBpp0309644, FBpp0309646, FBpp0309643, FBpp0309650, FBpp0428427",FlyBase Gene Snapshot,"terribly reduced optic lobes (trol) encodes the extracellular matrix component Perlecan, a secreted heparan sulfate proteoglycan. It regulates cell-signaling by multiple growth factors including those in the hedgehog, wingless/WNT, FGF, TGFbeta, EGF, and VEGF families, thus playing a role in many developmental patterning decisions."
Q5LJP0,FBgn0001313,kl-2,male fertility factor kl2,Y,573088..664173(1),FBtr0346722,FBpp0312333,Alliance,Predicted to enable dynein intermediate chain binding activity; dynein light intermediate chain binding activity; and minus-end-directed microtubule motor activity. Involved in flagellated sperm motility. Is active in sperm flagellum. Is expressed in adult head. Human ortholog(s) of this gene implicated in spermatogenic failure 45. Orthologous to human DNAH2 (dynein axonemal heavy chain 2).
Q9VZ77,FBgn0035581,Dnah3,"dynein, axonemal, heavy chain 3",3L,4861269..4895749(1),"FBtr0289982, FBtr0289983","FBpp0288420, FBpp0288421",FlyBase Gene Snapshot,"dynein, axonemal, heavy chain 3 (Dnah3) encodes a motor protein involved in hearing and sperm competition."
A8JNJ6,FBgn0004167,kst,karst,3L,3336860..3368133(1),"FBtr0300017, FBtr0332056, FBtr0073072, FBtr0303857, FBtr0073070, FBtr0332057, FBtr0073071","FBpp0304366, FBpp0089203, FBpp0089204, FBpp0292863, FBpp0304367, FBpp0072934, FBpp0289294",FlyBase Gene Snapshot,"karst (kst) encodes a protein that, together with the product of alpha-Spec, crosslinks F-actin and acts as a molecular scaffold. It is recruited to the apical membrane of epithelial cells by the apical determinant encoded by crb. The roles of the product of kst include endosomal trafficking, cell adhesion, cell signaling and growth control."
Q7KTG2,FBgn0032136,Apoltp,Apolipoprotein lipid transfer particle,2L,9634179..9656026(1),FBtr0303874,FBpp0292877,FlyBase Gene Snapshot,"Apolipoprotein lipid transfer particle (Apoltp) encodes a apolipoprotein of the ApoB family. It is assembled with lipids to form high density, low abundance lipoproteins named lipid transfer particles (LTP). LTP catalyzes the transfer of lipids from the gut to circulating lipophorin and from lipophorin to peripheral tissues, such as imaginal discs and ovaries."
A8JQT5,FBgn0265082,Cdep,Chondrocyte-derived ezrin-like domain containing protein,3R,4910552..4945576(1),"FBtr0336810, FBtr0336812, FBtr0336809, FBtr0336811","FBpp0307780, FBpp0307779, FBpp0307781, FBpp0307778",Alliance,"Predicted to enable guanyl-nucleotide exchange factor activity. Predicted to be involved in Rac protein signal transduction. Predicted to be located in cytoskeleton. Is expressed in several structures, including embryonic/larval midgut; extended germ band embryo; muscle system; spermatozoon; and visceral muscle primordium. Human ortholog(s) of this gene implicated in congenital nystagmus 1. Orthologous to human FRMD7 (FERM domain containing 7)."
Q0E8P6,FBgn0023096,btv,beethoven,2L,17962625..17982472(-1),FBtr0273418,FBpp0271926,FlyBase Gene Snapshot,"beethoven (btv) encodes the minor cytoplasmic dynein heavy chain, which is the retrograde motor for intraflagellar transport. It is required for the proper assembly of the sensory cilia in chordotonal organs. It contributes to hearing and other chordotonal-dependent functions such as larval locomotion."
A8DYP0,FBgn0053519,Unc-89,Unc-89,2R,23995543..24014254(-1),"FBtr0343285, FBtr0343283, FBtr0343286, FBtr0343287, FBtr0113464, FBtr0343284","FBpp0309950, FBpp0309949, FBpp0309952, FBpp0112375, FBpp0309951, FBpp0309948",FlyBase Gene Snapshot,Unc-89 (Unc-89) encodes a titin-like protein located at the midline of the muscle thick filaments that is needed for assembly of a symmetrical sarcomere. It is involved in myogenesis and the Hippo signalling pathway.
Q9VWZ3,FBgn0283476,Dhc16F,Dynein heavy chain at 16F,X,18064483..18078472(1),FBtr0074509,FBpp0074283,Alliance,Predicted to enable dynein intermediate chain binding activity; dynein light intermediate chain binding activity; and minus-end-directed microtubule motor activity. Involved in flagellated sperm motility. Is active in sperm flagellum. Is expressed in chordotonal neurons; spermatogonium; spermatozoon; and testis. Orthologous to human DNAH6 (dynein axonemal heavy chain 6).
A0A6H2EJG3,FBgn0013810,Dhc36C,Dynein heavy chain at 36C,2L,17501401..17525515(1),"FBtr0304742, FBtr0479836","FBpp0293284, FBpp0428170",FlyBase Gene Snapshot,Dynein heavy chain at 36C (Dhc36C) encodes a motor protein involved in hearing.
A1Z9M5,FBgn0050069,Sdb,SAXO downstream of blistered,2R,14185204..14198368(1),FBtr0087530,FBpp0086659,FlyBase Gene Snapshot,SAXO downstream of blistered (Sdb) encodes a large protein conserved in other insects with up to 80 copies of a tandem array of a 29 amino acid repeat. Ubiquitous Sdb RNAi causes lethality and wing-specific RNAi causes wing adhesion defects.
Q9VCA8,FBgn0043884,mask,multiple ankyrin repeats single KH domain,3R,24230562..24250248(1),"FBtr0084562, FBtr0334943, FBtr0334942, FBtr0084563, FBtr0305043, FBtr0345261","FBpp0083947, FBpp0083948, FBpp0306961, FBpp0306960, FBpp0311438, FBpp0293580",UniProtKB,"Mediator of receptor tyrosine kinase (RTK) signaling, and may act either downstream of MAPK or transduce signaling through a parallel branch of the RTK pathway (PubMed:11782402). Required for the development and organization of indirect flight muscle sarcomeres by regulating the formation of M line and H zone and the correct assembly of thick and thin filaments in the sarcomere (PubMed:26251439). (UniProtKB:Q9VCA8)"
Q7KVA7,FBgn0013811,Dhc62B,Dynein heavy chain at 62B,3L,1759172..1771758(-1),FBtr0303106,FBpp0292225,FlyBase Gene Snapshot,Dynein heavy chain at 62B (Dhc62B) encodes a motor protein involved in retrograde axonal transport.
Q9VU08,FBgn0052113,Vps13D,Vacuolar protein sorting 13D,3L,12755049..12768605(1),FBtr0273390,FBpp0271898,FlyBase Gene Snapshot,"Vacuolar protein sorting 13D (Vps13D) encodes a ubiquitin-binding protein that is required for autophagy, normal mitochondrial size and mitochondrial clearance. It functions with the Endosomal Sorting Complexes Required for Transport (ESCRT) in a common autophagy pathway."
Q9VC56,FBgn0039214,puf,puffyeye,3R,24635270..24650043(-1),"FBtr0330308, FBtr0084668, FBtr0330309, FBtr0084667, FBtr0306172, FBtr0339135","FBpp0303340, FBpp0297302, FBpp0084048, FBpp0303341, FBpp0084047, FBpp0308280",FlyBase Gene Snapshot,"puffyeye (puf) encodes an essential deubiquitinating enzyme that acts as a ubiquitin-specific protease. It removes ubiquitin polypeptide chains from the products of Myc and CycE, thereby stabilizing these proteins and increasing their abundance to influence cell growth and proliferation. The product of puf binds to the product of ago as well as its substrates. It antagonizes ago function."
Q9VU94,FBgn0029167,Hml,Hemolectin,3L,13846054..13860001(1),"FBtr0333020, FBtr0075753","FBpp0305234, FBpp0075495",FlyBase Gene Snapshot,Hemolectin (Hml) encodes a large multidomain protein produced by hemocytes and involved in the clotting reaction.
Q8I8U7,FBgn0053554,Nipped-A,Nipped-A,2R,5177965..5251022(-1),"FBtr0347556, FBtr0303293","FBpp0292385, FBpp0312589",UniProtKB,"Part of the Tip60 chromatin-remodeling complex which is involved in DNA repair (PubMed:15528408). Upon induction of DNA double-strand breaks, this complex acetylates phosphorylated H2AV in nucleosomes and exchanges it with unmodified H2AV (PubMed:15528408). During wing development, required for activity of Notch and its coactivator mam (PubMed:16508010). Function in promoting mam function is likely to involve both the Tip60 and SAGA complexes (PubMed:16508010). (UniProtKB:Q8I8U7)"
