Protein_ID,MD5_Digest,Length,Analysis,Signature_Accession,Signature_Description,Start,Stop,Score,Status,Date,InterPro_Accession,InterPro_Description,GO_Annotations,Pathway_Annotations
A0A0B4KEQ7,f3c824a4c4c170f9a21bd206ae02bd32,530,Pfam,PF02944,BESS motif,261,295,0.0011,T,12/5/2026,IPR004210,BESS motif,-,-
Q8IRE0,fdf5664384b10011bc8719ee44eabee8,259,Pfam,PF00089,Trypsin,31,251,1.90E-50,T,12/5/2026,IPR001254,"Serine proteases, trypsin domain",-,-
Q95T08,8cc44349d5aa684d71ae4382c9b538d6,304,Pfam,PF27983,CUEDC2 N-terminal domain,8,104,1.20E-30,T,12/5/2026,IPR060584,"CUEDC2, N-terminal domain",-,-
Q9VCA2,60af65fc2c6a5b9b948094e4dd1cfd9c,548,Pfam,PF00083,Sugar (and other) transporter,97,512,2.30E-31,T,12/5/2026,IPR005828,"Major facilitator, sugar transporter-like",-,-
Q59DZ4,4070bb1b50e68d609df232b6eb6a8987,410,Pfam,PF07686,Immunoglobulin V-set domain,113,206,2.40E-05,T,12/5/2026,IPR013106,Immunoglobulin V-set domain,-,-
Q59DZ4,4070bb1b50e68d609df232b6eb6a8987,410,Pfam,PF07686,Immunoglobulin V-set domain,220,306,5.80E-04,T,12/5/2026,IPR013106,Immunoglobulin V-set domain,-,-
Q9VAR0,bc3433a2533efa6146b605de3d51fd4b,835,Pfam,PF00069,Protein kinase domain,40,314,2.10E-19,T,12/5/2026,IPR000719,Protein kinase domain,-,-
Q961G1,3a2c90dc0ca344a1dfca2cf1450bed81,905,Pfam,PF04136,"Conserved oligomeric Golgi complex subunit 3, N-terminal",116,259,9.30E-43,T,12/5/2026,IPR048320,"Conserved oligomeric Golgi complex subunit 3, N-terminal",-,-
Q961G1,3a2c90dc0ca344a1dfca2cf1450bed81,905,Pfam,PF20671,"Conserved oligomeric Golgi complex subunit 3, C-terminal",286,630,3.80E-107,T,12/5/2026,IPR048685,"Conserved oligomeric Golgi complex subunit 3, C-terminal",-,-
A0A4D6K5G3,bd5f164b295cf654c7f9a163747f681c,764,Pfam,PF00250,Forkhead domain,400,476,2.20E-21,T,12/5/2026,IPR001766,Fork head domain,-,-
G2J5Z0,290912f76c701af13985903f7994d922,80,Pfam,PF10937,Alpha-ketoglutarate dehydrogenase component 4/YMR-31,34,78,0.095,T,12/5/2026,IPR020373,Alpha-ketoglutarate dehydrogenase component 4/YMR-31,-,-
Q9VJN9,194b3257fe6d7d5080760bab821d8586,251,Pfam,PF01400,Astacin (Peptidase family M12A),48,245,1.20E-42,T,12/5/2026,IPR001506,Peptidase M12A,-,-
Q4ABH5,394ab1f21400372967fa36d5aac4e6ee,178,Pfam,PF06477,Protein of unknown function (DUF1091),68,149,8.70E-14,T,12/5/2026,IPR010512,Protein of unknown function DUF1091,-,-
Q6IIA4,e86615fabc31a90537243d9abff0f862,139,Pfam,PF11969,Scavenger mRNA decapping enzyme C-term binding,5,115,4.70E-28,T,12/5/2026,-,-,-,-
Q9VZ77,602e81797a355171c30942950792dbf9,4385,Pfam,PF12780,P-loop containing dynein motor region D4,2621,2915,1.20E-81,T,12/5/2026,IPR024317,"Dynein heavy chain, AAA module D4",-,-
Q9VZ77,602e81797a355171c30942950792dbf9,4385,Pfam,PF18198,Dynein heavy chain AAA lid domain,3923,4060,1.50E-46,T,12/5/2026,IPR041658,"Dynein heavy chain, AAA lid domain",-,-
Q9VZ77,602e81797a355171c30942950792dbf9,4385,Pfam,PF03028,Dynein heavy chain region D6 P-loop domain,3767,3881,2.70E-38,T,12/5/2026,IPR004273,"Dynein heavy chain, D6 P-loop domain",-,-
Q9VZ77,602e81797a355171c30942950792dbf9,4385,Pfam,PF12775,P-loop containing dynein motor region,2253,2430,6.10E-57,T,12/5/2026,-,-,-,-
Q9VZ77,602e81797a355171c30942950792dbf9,4385,Pfam,PF12774,Hydrolytic ATP binding site of dynein motor region,1620,1946,8.50E-143,T,12/5/2026,IPR035699,"Dynein heavy chain, hydrolytic ATP-binding dynein motor region",-,-
Q9VZ77,602e81797a355171c30942950792dbf9,4385,Pfam,PF18199,Dynein heavy chain C-terminal domain,4067,4381,1.50E-100,T,12/5/2026,IPR041228,"Dynein heavy chain, C-terminal domain",-,-
Q9VZ77,602e81797a355171c30942950792dbf9,4385,Pfam,PF22597,"Dynein heavy chain, ATPase lid domain",2460,2537,4.60E-13,T,12/5/2026,IPR054354,"Dynein 2 heavy chain 1, cytoplasmic, ATPase lid domain",-,-
Q9VZ77,602e81797a355171c30942950792dbf9,4385,Pfam,PF12781,ATP-binding dynein motor region,3302,3523,1.40E-82,T,12/5/2026,IPR035706,"Dynein heavy chain, ATP-binding dynein motor region",-,-
Q9VZ77,602e81797a355171c30942950792dbf9,4385,Pfam,PF17852,Dynein heavy chain AAA lid domain,2117,2242,3.70E-13,T,12/5/2026,IPR041466,"Dynein heavy chain, AAA 5 extension domain",-,-
Q9VZ77,602e81797a355171c30942950792dbf9,4385,Pfam,PF08393,"Dynein heavy chain, N-terminal region 2",1083,1489,6.80E-127,T,12/5/2026,IPR013602,"Dynein heavy chain, linker",-,-
Q9VZ77,602e81797a355171c30942950792dbf9,4385,Pfam,PF12777,Microtubule-binding stalk of dynein motor,2930,3273,9.20E-47,T,12/5/2026,IPR024743,"Dynein heavy chain, coiled coil stalk",-,-
Q9W483,3312a1c005f216e02313b8e44c6bf8a9,259,Pfam,PF00721,Virus coat protein (TMV like),114,258,3.30E-22,T,12/5/2026,IPR001337,"Tobacco mosaic virus-like, coat protein",-,-
Q8IQ43,495b10e50f27b32cfeeaec7ed0ed98a8,764,Pfam,PF15866,Domain of unknown function (DUF4729),552,746,5.80E-54,T,12/5/2026,IPR031732,Domain of unknown function DUF4729,-,-
P04814,d5db5668e0324b939c93452e728ccd4d,256,Pfam,PF00089,Trypsin,31,249,1.00E-60,T,12/5/2026,IPR001254,"Serine proteases, trypsin domain",-,-
A1Z824,89642427f478f8cff1523cd50fcfb68a,340,Pfam,PF00089,Trypsin,62,317,7.30E-36,T,12/5/2026,IPR001254,"Serine proteases, trypsin domain",-,-
O16867,ed06f963b438821f91e68af0e8faae54,398,Pfam,PF00010,Helix-loop-helix DNA-binding domain,155,206,7.20E-15,T,12/5/2026,IPR011598,"Myc-type, basic helix-loop-helix (bHLH) domain",-,-
Q9VSR7,334fbdaf09d3feae92ef45b5350e28f0,994,Pfam,PF00133,"tRNA synthetases class I (I, L, M and V)",67,667,5.50E-122,T,12/5/2026,IPR002300,"Aminoacyl-tRNA synthetase, class Ia",-,-
Q9VSR7,334fbdaf09d3feae92ef45b5350e28f0,994,Pfam,PF08264,Anticodon-binding domain of tRNA ligase,723,856,2.80E-18,T,12/5/2026,IPR013155,"Methionyl/Valyl/Leucyl/Isoleucyl-tRNA synthetase, anticodon-binding",-,-
X2JCF3,c240ec696f586fc4dc78488edc9cec52,581,Pfam,PF00620,RhoGAP domain,306,457,1.80E-22,T,12/5/2026,IPR000198,Rho GTPase-activating protein domain,-,-
Q9VID5,c243d43984c9afbcd86ac5ab30d953d3,1039,Pfam,PF10358,N-terminal C2 in EEIG1 and EHBP1 proteins,16,158,3.90E-25,T,12/5/2026,IPR019448,NT-type C2 domain,-,-
A8JNC9,4b7a3fb5b95c1653f2f701114641e404,572,Pfam,PF07993,Male sterility protein,81,350,1.10E-66,T,12/5/2026,IPR013120,"Fatty acyl-CoA reductase-like, NAD-binding domain",-,-
A8JNC9,4b7a3fb5b95c1653f2f701114641e404,572,Pfam,PF03015,Male sterility protein,428,520,5.00E-23,T,12/5/2026,IPR033640,"Fatty acyl-CoA reductase, C-terminal",-,-
P54356,3c8d18cbbc963e910e02a6fabd862ab5,249,Pfam,PF23782,Twisted gastrulation (Tsg) protein N-terminal domain,25,80,4.80E-19,T,12/5/2026,IPR057635,"Tsg, N-terminal",-,-
P54356,3c8d18cbbc963e910e02a6fabd862ab5,249,Pfam,PF04668,Twisted gastrulation (Tsg) protein conserved region,85,207,2.00E-38,T,12/5/2026,IPR057726,"Tsg, C-terminal domain",-,-
Q9VP05,850a2ce170673053bd94243ee7eccec0,1475,Pfam,PF10744,Mediator of RNA polymerase II transcription subunit 1,75,431,8.80E-55,T,12/5/2026,IPR019680,"Mediator complex, subunit Med1",-,-
Q9VRL3,6b9b144c122a55917094760e342f30c7,138,Pfam,PF01920,Prefoldin subunit,26,130,6.10E-22,T,12/5/2026,IPR002777,Prefoldin beta-like,-,-
Q6IG91,5cdd37c34c5c27f5c781adaa741eb030,112,Pfam,PF03259,Roadblock/LC7 domain,16,105,2.90E-07,T,12/5/2026,IPR004942,Roadblock/LAMTOR2 domain,-,-
A8JUX7,b4f18ce1b93be0cd8441ee2b31c7d008,622,Pfam,PF15396,Protein Family FAM60A,2,269,5.50E-80,T,12/5/2026,IPR026065,SIN3-HDAC complex-associated factor,-,-
Q9VNL2,59c9079c7a8868e1326eb6a4f8c05b04,245,Pfam,PF01395,PBP/GOBP family,136,231,6.10E-06,T,12/5/2026,IPR006170,Pheromone/general odorant binding protein,-,-
Q9VSZ3,d5576a84fd844f4abc1b2b276295b220,669,Pfam,PF00096,"Zinc finger, C2H2 type",559,583,14,T,12/5/2026,IPR013087,Zinc finger C2H2-type,-,-
Q9VSZ3,d5576a84fd844f4abc1b2b276295b220,669,Pfam,PF00096,"Zinc finger, C2H2 type",531,553,0.13,T,12/5/2026,IPR013087,Zinc finger C2H2-type,-,-
Q9VSZ3,d5576a84fd844f4abc1b2b276295b220,669,Pfam,PF00096,"Zinc finger, C2H2 type",589,613,0.6,T,12/5/2026,IPR013087,Zinc finger C2H2-type,-,-
Q9VJ10,4e37936d8d1fc0803c4a37f1fee5a6f9,515,Pfam,PF01266,FAD dependent oxidoreductase,99,482,8.00E-49,T,12/5/2026,IPR006076,FAD dependent oxidoreductase,-,-
Q4AB38,c9d9117711018d928fb4748c3f689213,212,Pfam,PF06477,Protein of unknown function (DUF1091),82,166,6.80E-05,T,12/5/2026,IPR010512,Protein of unknown function DUF1091,-,-
Q9VS62,9bddfce39f2f13403f16f93d510e1b17,944,Pfam,PF17862,AAA+ lid domain,443,476,9.70E-07,T,12/5/2026,IPR041569,"AAA ATPase, AAA+ lid domain",-,-
Q9VS62,9bddfce39f2f13403f16f93d510e1b17,944,Pfam,PF17862,AAA+ lid domain,856,892,6.90E-10,T,12/5/2026,IPR041569,"AAA ATPase, AAA+ lid domain",-,-
Q9VS62,9bddfce39f2f13403f16f93d510e1b17,944,Pfam,PF00004,ATPase family associated with various cellular activities (AAA),287,418,5.80E-36,T,12/5/2026,IPR003959,"ATPase, AAA-type, core",-,-
Q9VS62,9bddfce39f2f13403f16f93d510e1b17,944,Pfam,PF00004,ATPase family associated with various cellular activities (AAA),699,830,1.40E-42,T,12/5/2026,IPR003959,"ATPase, AAA-type, core",-,-
Q9VS62,9bddfce39f2f13403f16f93d510e1b17,944,Pfam,PF16725,Nucleolin binding domain,2,70,7.00E-19,T,12/5/2026,IPR031996,"NVL2, nucleolin binding domain",-,-
M9MS20,767b5ac066cb056edfb5c27177202bdb,271,Pfam,PF00089,Trypsin,32,262,2.10E-45,T,12/5/2026,IPR001254,"Serine proteases, trypsin domain",-,-
Q8INJ3,fdd21048ddcca1c2f0fb3c9d9f670ffd,319,Pfam,PF00153,Mitochondrial carrier protein,19,110,1.70E-18,T,12/5/2026,IPR018108,"Mitochondrial carrier protein, transmembrane region",-,-
Q8INJ3,fdd21048ddcca1c2f0fb3c9d9f670ffd,319,Pfam,PF00153,Mitochondrial carrier protein,225,302,1.00E-16,T,12/5/2026,IPR018108,"Mitochondrial carrier protein, transmembrane region",-,-
Q8INJ3,fdd21048ddcca1c2f0fb3c9d9f670ffd,319,Pfam,PF00153,Mitochondrial carrier protein,120,208,2.50E-11,T,12/5/2026,IPR018108,"Mitochondrial carrier protein, transmembrane region",-,-
Q7JW00,4f64e7fa26829c908d08084ef23c6de0,66,Pfam,PF02935,Cytochrome c oxidase subunit VIIc,6,65,8.50E-14,T,12/5/2026,IPR004202,Cytochrome c oxidase subunit VIIc,-,-
Q8IQ15,b6f96ef6dba3837f399148205f1d827b,148,Pfam,PF13499,EF-hand domain pair,12,72,1.60E-08,T,12/5/2026,IPR002048,EF-hand domain,-,-
Q8IQ15,b6f96ef6dba3837f399148205f1d827b,148,Pfam,PF13499,EF-hand domain pair,82,146,1.90E-13,T,12/5/2026,IPR002048,EF-hand domain,-,-
Q9VB52,0ecf4b94f526e494205f16d47482f332,1477,Pfam,PF02198,Sterile alpha motif (SAM)/Pointed domain,1279,1366,4.30E-13,T,12/5/2026,IPR003118,Pointed domain,-,-
Q9VB52,0ecf4b94f526e494205f16d47482f332,1477,Pfam,PF02820,mbt repeat,1066,1133,2.90E-23,T,12/5/2026,IPR004092,Mbt repeat domain,-,-
Q9VB52,0ecf4b94f526e494205f16d47482f332,1477,Pfam,PF02820,mbt repeat,964,1029,1.30E-20,T,12/5/2026,IPR004092,Mbt repeat domain,-,-
Q9VB52,0ecf4b94f526e494205f16d47482f332,1477,Pfam,PF02820,mbt repeat,854,922,3.30E-24,T,12/5/2026,IPR004092,Mbt repeat domain,-,-
Q7KW39,fa5e3b71de702f6d4acbc0db138c517d,520,Pfam,PF00171,Aldehyde dehydrogenase family,34,498,2.10E-134,T,12/5/2026,IPR015590,Aldehyde dehydrogenase domain,-,-
Q7KT22,ac0e965071541e94fffaf3d3c0fa4947,1292,Pfam,PF00664,ABC transporter transmembrane region,95,361,1.60E-24,T,12/5/2026,IPR011527,"ABC transporter type 1, transmembrane domain",-,-
Q7KT22,ac0e965071541e94fffaf3d3c0fa4947,1292,Pfam,PF00664,ABC transporter transmembrane region,718,957,3.70E-23,T,12/5/2026,IPR011527,"ABC transporter type 1, transmembrane domain",-,-
Q7KT22,ac0e965071541e94fffaf3d3c0fa4947,1292,Pfam,PF00005,ABC transporter,1050,1197,2.90E-21,T,12/5/2026,IPR003439,"ABC transporter-like, ATP-binding domain",-,-
Q7KT22,ac0e965071541e94fffaf3d3c0fa4947,1292,Pfam,PF00005,ABC transporter,430,563,1.10E-16,T,12/5/2026,IPR003439,"ABC transporter-like, ATP-binding domain",-,-
Q24251,4c219e22ca9e6524cc08e858fd05becc,178,Pfam,PF05873,"ATP synthase D chain, mitochondrial (ATP5H)",3,156,6.80E-65,T,12/5/2026,IPR008689,"ATP synthase, F0 complex, subunit D, mitochondrial",-,-
P0C919,1ecb48f9c954dece2472d60f9cb24499,90,Pfam,PF02597,ThiS family,12,90,1.40E-10,T,12/5/2026,IPR003749,Sulfur carrier ThiS/MoaD-like,-,-
Q7JW66,f33242c42557d0c1685e12c3a1d90046,352,Pfam,PF10469,AKAP7 2'5' RNA ligase-like domain,151,352,3.70E-60,T,12/5/2026,IPR019510,"A-kinase anchor protein 7-like, phosphoesterase domain",-,-
Q7JW66,f33242c42557d0c1685e12c3a1d90046,352,Pfam,PF00013,KH domain,78,139,1.70E-08,T,12/5/2026,IPR004088,"K Homology domain, type 1",-,-
Q9VUH8,4adfa24796760f07d322221d2283ac2c,836,Pfam,PF00627,UBA/TS-N domain,256,278,0.035,T,12/5/2026,IPR015940,Ubiquitin-associated domain,-,-
Q9VUH8,4adfa24796760f07d322221d2283ac2c,836,Pfam,PF06003,"Survival motor neuron protein (SMN), Tudor domain",732,774,0.0038,T,12/5/2026,IPR010304,"Survival motor neuron, Tudor domain",-,-
Q9VUH8,4adfa24796760f07d322221d2283ac2c,836,Pfam,PF08585,"RMI1, N-terminal OB-fold domain",65,159,3.60E-15,T,12/5/2026,IPR013894,"RecQ mediated genome instability protein 1, OB-fold domain",-,-
P35500,84db0f1cc5e7c38403beb01122d10a92,2131,Pfam,PF00520,Ion transport protein,152,439,1.10E-52,T,12/5/2026,IPR005821,Ion transport domain,-,-
P35500,84db0f1cc5e7c38403beb01122d10a92,2131,Pfam,PF00520,Ion transport protein,1300,1570,1.10E-69,T,12/5/2026,IPR005821,Ion transport domain,-,-
P35500,84db0f1cc5e7c38403beb01122d10a92,2131,Pfam,PF00520,Ion transport protein,1620,1869,1.10E-56,T,12/5/2026,IPR005821,Ion transport domain,-,-
P35500,84db0f1cc5e7c38403beb01122d10a92,2131,Pfam,PF00520,Ion transport protein,818,1045,9.60E-61,T,12/5/2026,IPR005821,Ion transport domain,-,-
P35500,84db0f1cc5e7c38403beb01122d10a92,2131,Pfam,PF06512,Sodium ion transport-associated,1054,1296,1.50E-24,T,12/5/2026,IPR010526,Sodium ion transport-associated domain,-,-
P35500,84db0f1cc5e7c38403beb01122d10a92,2131,Pfam,PF11933,Cytoplasmic domain of voltage-gated Na+ ion channel,555,656,5.70E-21,T,12/5/2026,IPR024583,"Voltage-gated Na+ ion channel, cytoplasmic domain",-,-
P35500,84db0f1cc5e7c38403beb01122d10a92,2131,Pfam,PF24609,"SCN5A-like, C-terminal IQ motif",1980,2012,8.80E-08,T,12/5/2026,IPR058542,"SCN5A-like, C-terminal IQ motif",-,-
B7Z058,aa7904bab906dc4db846292474850e46,906,Pfam,PF00620,RhoGAP domain,57,200,1.10E-21,T,12/5/2026,IPR000198,Rho GTPase-activating protein domain,-,-
A0A4D6K3L8,1951aa860eae14fd3f7d5b296237ddfb,530,Pfam,PF13000,Acetyl-coenzyme A transporter 1,43,346,1.40E-78,T,12/5/2026,IPR024371,Acetyl-coenzyme A transporter 1-like,-,-
A0A4D6K3L8,1951aa860eae14fd3f7d5b296237ddfb,530,Pfam,PF13000,Acetyl-coenzyme A transporter 1,375,518,3.30E-30,T,12/5/2026,IPR024371,Acetyl-coenzyme A transporter 1-like,-,-
Q8IN42,59e0eb68eca6b23c7c145578cbad1fd4,147,Pfam,PF07240,Stress-inducible humoral factor Turandot,43,127,1.50E-14,T,12/5/2026,IPR010825,Stress-inducible humoral factor Turandot,-,-
Q7JZN0,dda0849466ba544ef2bb58b8abb2d37e,100,Pfam,PF03911,Sec61beta family,57,95,6.10E-16,T,12/5/2026,IPR016482,Protein transport protein SecG/Sec61-beta/Sbh,-,-
Q9W542,ca555accfbe42677215714a92457f36d,986,Pfam,PF06584,DIRP,310,419,5.30E-35,T,12/5/2026,IPR033471,DIRP domain,-,-
Q9W542,ca555accfbe42677215714a92457f36d,986,Pfam,PF19438,LIN9 C-terminal,455,772,6.10E-33,T,12/5/2026,IPR045831,"LIN-9, C-terminal",-,-
Q9VIJ9,08f5bea90da6abd7deab59b20526de95,575,Pfam,PF01926,50S ribosome-binding GTPase,335,389,1.80E-10,T,12/5/2026,IPR006073,GTP binding domain,-,-
Q95TF4,d34593821b5a6e789ad9980cc778fddb,403,Pfam,PF00209,Sodium:neurotransmitter symporter family,122,217,4.10E-18,T,12/5/2026,IPR000175,Sodium:neurotransmitter symporter,-,-
Q95TF4,d34593821b5a6e789ad9980cc778fddb,403,Pfam,PF15955,Cuticle protein,274,344,1.30E-13,T,12/5/2026,IPR031874,Adult cuticle protein 1,-,-
Q8T4A8,7bb88af9b55592fdf854846fd89cff90,270,Pfam,PF00089,Trypsin,27,260,2.70E-51,T,12/5/2026,IPR001254,"Serine proteases, trypsin domain",-,-
Q7JY94,45fd1bbdd3c20a629241b0a166a3a06f,684,Pfam,PF16420,Ubiquitin-like modifier-activating enzyme ATG7 N-terminus,9,307,6.80E-84,T,12/5/2026,IPR032197,"Ubiquitin-like modifier-activating enzyme Atg7, N-terminal",-,-
Q7JY94,45fd1bbdd3c20a629241b0a166a3a06f,684,Pfam,PF00899,ThiF family,323,577,6.10E-35,T,12/5/2026,IPR000594,THIF-type NAD/FAD binding fold,-,-
Q8MZ22,a202b61761f24720c282f0fb05d8f35e,485,Pfam,PF16013,Domain of unknown function (DUF4781),101,174,3.10E-05,T,12/5/2026,IPR031962,Domain of unknown function DUF4781,-,-
Q9VBM0,5f173911f8286c3a9b823d8519a03aab,164,Pfam,PF13499,EF-hand domain pair,98,162,1.30E-08,T,12/5/2026,IPR002048,EF-hand domain,-,-
Q9VBM0,5f173911f8286c3a9b823d8519a03aab,164,Pfam,PF14658,EF-hand domain,31,92,7.40E-10,T,12/5/2026,IPR039508,"Protein KASH5, EF-hand-like domain",-,-
M9PE01,1b1ce450a55b2386702cb392060a57b4,538,Pfam,PF00069,Protein kinase domain,205,489,2.00E-61,T,12/5/2026,IPR000719,Protein kinase domain,-,-
Q9VIU4,2e4fac37803caf8f7360214034f17611,427,Pfam,PF01066,CDP-alcohol phosphatidyltransferase,55,173,6.20E-05,T,12/5/2026,IPR000462,CDP-alcohol phosphatidyltransferase,-,-
Q7JWV5,41c802809796387b9a7c1baf477943db,440,Pfam,PF15881,Domain of unknown function (DUF4734),327,414,3.70E-22,T,12/5/2026,IPR031750,Domain of unknown function DUF4734,-,-
Q7JWV5,41c802809796387b9a7c1baf477943db,440,Pfam,PF07707,BTB And C-terminal Kelch,230,313,2.60E-16,T,12/5/2026,IPR011705,BTB/Kelch-associated,-,-
Q9VC56,0a63205a241f8607cacc49149430161f,3912,Pfam,PF00443,Ubiquitin carboxyl-terminal hydrolase,2015,2377,3.70E-44,T,12/5/2026,IPR001394,"Peptidase C19, ubiquitin carboxyl-terminal hydrolase",-,-
Q9VC56,0a63205a241f8607cacc49149430161f,3912,Pfam,PF12030,Domain of unknown function (DUF3517),2646,2885,2.00E-11,T,12/5/2026,IPR021905,"Ubiquitin C-terminal hydrolase-like, DUF3517",-,-
